# SimpleSim Simulation Results - 20250624_224358
# Generated: 2025-06-24 22:43:58
# Economic Parameters: Working Hours=166.4, Absence=16.0%, Utilization=85.0%, Employment Cost Rate=40.0%, Other Expense=19,000,000 SEK/month

=== OFFICE SUMMARY ===
Office,Year,Total FTE,Consultants,Total Hours,Avg Price,Revenue (SEK),Salary Cost (SEK),Employment Cost (SEK),EBITDA (SEK),Margin (%)
Stockholm,2025,1407,1050,1497001,1270.03,1901231724,842815200,1179941280,721290444,37.9
Munich,2025,686,506,721412,1500.44,1082432435,527375624,738325874,344106561,31.8
Hamburg,2025,275,194,276589,1507.21,416878412,200128079,280179311,136699101,32.8
Helsinki,2025,216,158,225263,1319.82,297306601,132661382,185725934,111580666,37.5
Oslo,2025,201,144,205303,1346.73,276487238,138754098,194255737,82231501,29.7
Berlin,2025,181,128,182492,1585.21,289286625,130175862,182246207,107040417,37.0
Copenhagen,2025,151,108,153977,1606.36,247343424,120477346,168668285,78675139,31.8
Zurich,2025,64,47,67009,2002.72,134199293,85013677,119019148,15180145,11.3
Frankfurt,2025,38,26,37069,1637.88,60714011,28401866,39762613,20951398,34.5
Amsterdam,2025,29,17,24237,1258.39,30499698,17322334,24251268,6248430,20.5
Cologne,2025,31,21,29940,1572.39,47077515,16340400,22876560,24200955,51.4
Toronto,2025,5,5,7129,1496.98,10671336,2737334,3832267,6839068,64.1
NonExistent,2025,0,0,0,0.00,0,0,0,0,0.0

=== WORKFORCE DETAILS ===
Office,Year,Role,Level,FTE,Salary (SEK/month),Hourly Rate (SEK)
Stockholm,2025,Consultant,A,98,42840,1129
Stockholm,2025,Consultant,AC,73,44880,1137
Stockholm,2025,Consultant,AM,254,59160,1273
Stockholm,2025,Consultant,C,187,48960,1177
Stockholm,2025,Consultant,M,115,71400,1405
Stockholm,2025,Consultant,PiP,22,91800,2040
Stockholm,2025,Consultant,SrC,208,54060,1209
Stockholm,2025,Consultant,SrM,93,85680,1491
Stockholm,2025,Operations,N/A,67,40000,N/A
Stockholm,2025,Recruitment,A,4,42840,1129
Stockholm,2025,Recruitment,AC,6,44880,1137
Stockholm,2025,Recruitment,AM,6,59160,1273
Stockholm,2025,Recruitment,C,6,48960,1177
Stockholm,2025,Recruitment,M,4,71400,1405
Stockholm,2025,Recruitment,PiP,1,91800,2040
Stockholm,2025,Recruitment,SrC,2,54060,1209
Stockholm,2025,Recruitment,SrM,7,85680,1491
Stockholm,2025,Sales,A,7,42840,1129
Stockholm,2025,Sales,AC,9,44880,1137
Stockholm,2025,Sales,AM,18,59160,1273
Stockholm,2025,Sales,C,7,48960,1177
Stockholm,2025,Sales,M,9,71400,1405
Stockholm,2025,Sales,PiP,7,91800,2040
Stockholm,2025,Sales,SrC,10,54060,1209
Stockholm,2025,Sales,SrM,4,85680,1491
Munich,2025,Consultant,A,22,58710,1308
Munich,2025,Consultant,AC,40,58710,1310
Munich,2025,Consultant,C,89,60968,1369
Munich,2025,Consultant,SrC,121,69467,1448
Munich,2025,Consultant,AM,152,79823,1556
Munich,2025,Consultant,M,62,92817,1706
Munich,2025,Consultant,SrM,13,112555,1992
