DATE,A_rec,A_churn,A_prog_in,A_prog_out,A_fte,A_rec_%,A_churn_%,AC_rec,AC_churn,AC_prog_in,AC_prog_out,AC_fte,AC_rec_%,AC_churn_%,C_rec,C_churn,C_prog_in,C_prog_out,C_fte,C_rec_%,C_churn_%,SrC_rec,SrC_churn,SrC_prog_in,SrC_prog_out,SrC_fte,SrC_rec_%,SrC_churn_%,AM_rec,AM_churn,AM_prog_in,AM_prog_out,AM_fte,AM_rec_%,AM_churn_%,M_rec,M_churn,M_prog_in,M_prog_out,M_fte,M_rec_%,M_churn_%,SrM_rec,SrM_churn,SrM_prog_in,SrM_prog_out,SrM_fte,SrM_rec_%,SrM_churn_%,Pi_rec,Pi_churn,Pi_prog_in,Pi_prog_out,Pi_fte,Pi_rec_%,Pi_churn_%,P_rec,P_churn,P_prog_in,P_prog_out,P_fte,P_rec_%,P_churn_%,Total_rec,Total_churn,Total_prog_in,Total_prog_out,Total_fte,Total_rec_%,Total_churn_%
202501,18,1,0,3,177,10.17,0.56,4,1,3,0,237,1.69,0.42,1,3,10,21,343,0.29,0.87,0,3,21,0,427,0.00,0.70,0,3,0,10,405,0.00,0.74,0,0,0,2,154,0.00,0.00,0,0,2,0,68,0.00,0.00,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0.00,0.00,23,11,36,36,1811,1.27,0.61
202502,31,3,0,75,209,14.83,1.44,19,10,75,57,452,4.20,2.21,3,4,0,0,269,1.12,1.49,0,6,0,0,422,0.00,1.42,0,5,57,0,434,0.00,1.15,0,2,0,0,159,0.00,1.26,0,0,0,0,66,0.00,0.00,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0.00,0.00,53,30,132,132,2011,2.64,1.49
202503,36,4,0,0,241,14.94,1.66,21,9,0,0,464,4.53,1.94,3,7,0,0,265,1.13,2.64,0,6,0,0,416,0.00,1.44,0,6,0,0,428,0.00,1.40,0,0,0,0,159,0.00,0.00,0,0,0,0,66,0.00,0.00,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0.00,0.00,60,32,0,0,2039,2.94,1.57
202504,41,3,0,0,279,14.70,1.08,22,11,0,0,475,4.63,2.32,2,5,0,0,262,0.76,1.91,1,6,0,0,411,0.24,1.46,0,5,0,0,423,0.00,1.18,0,2,0,0,157,0.00,1.27,0,1,0,0,65,0.00,1.54,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0.00,0.00,66,33,0,0,2072,3.19,1.59
202505,26,1,0,0,202,12.87,0.50,10,3,0,0,244,4.10,1.23,2,6,0,0,339,0.59,1.77,0,5,0,0,422,0.00,1.18,0,3,0,0,402,0.00,0.75,0,1,0,0,153,0.00,0.65,0,0,0,0,68,0.00,0.00,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0.00,0.00,38,19,0,0,1830,2.08,1.04
202506,32,4,0,0,230,13.91,1.74,10,7,0,0,247,4.05,2.83,4,7,0,0,336,1.19,2.08,1,8,0,0,415,0.24,1.93,0,5,0,0,397,0.00,1.26,0,0,0,0,153,0.00,0.00,0,0,0,0,68,0.00,0.00,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0.00,0.00,47,31,0,0,1846,2.55,1.68
202507,30,2,0,30,228,13.16,0.88,13,5,30,2,283,4.59,1.77,3,6,0,0,333,0.90,1.80,0,5,0,0,410,0.00,1.22,0,5,2,0,394,0.00,1.27,0,2,0,0,151,0.00,1.32,0,1,0,0,67,0.00,1.49,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0.00,0.00,46,26,32,32,1866,2.47,1.39
202508,35,4,0,0,259,13.51,1.54,12,6,0,0,289,4.15,2.08,5,8,0,0,330,1.52,2.42,2,8,0,0,404,0.50,1.98,0,4,0,0,390,0.00,1.03,0,0,0,0,151,0.00,0.00,0,0,0,0,67,0.00,0.00,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0.00,0.00,54,30,0,0,1890,2.86,1.59
202509,43,4,0,0,298,14.43,1.34,10,5,0,0,294,3.40,1.70,2,4,0,0,328,0.61,1.22,0,6,0,0,398,0.00,1.51,0,6,0,0,384,0.00,1.56,0,1,0,0,150,0.00,0.67,0,0,0,0,67,0.00,0.00,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0.00,0.00,55,26,0,0,1919,2.87,1.35
202510,31,3,0,127,199,15.58,1.51,20,11,127,22,408,4.90,2.70,2,5,11,62,274,0.73,1.82,1,6,62,15,440,0.23,1.36,1,5,22,11,391,0.26,1.28,0,1,15,0,164,0.00,0.61,0,0,0,0,67,0.00,0.00,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0.00,0.00,55,31,237,237,1943,2.83,1.60
